gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
GPR64	1	0	1	0.09868745682423764	0.2518883283956549
TBC1D12	2	0	1	0.09898050084133425	0.2518883283956549
CD27	2	0	1	0.09932459276916965	0.2518883283956549
KRTAP4-4	2	0	2	0.09933445912387007	0.2518883283956549
MCEE	1	0	1	0.09938382031405288	0.2518883283956549
ERLIN1	1	0	1	0.09940357852882704	0.2518883283956549
NLRP1	1	0	1	0.0997307270370001	0.2518883283956549
VLDLR	1	0	1	0.0998302885095338	0.2518883283956549
PAX2	1	0	1	0.0998801438274071	0.2518883283956549
SMCHD1	1	0	1	0.09996001599360256	0.2518883283956549
PITPNM2	3	0	1	0.1001201441730076	0.2518883283956549
MAP3K1	1	0	1	0.10066438494060802	0.2518883283956549
KIRREL	2	0	1	0.10068465565847765	0.2518883283956549
CEL	1	0	1	0.10092854259184497	0.2518883283956549
IGKV6D-41	1	0	1	0.10122482032594392	0.2518883283956549
CA10	1	0	1	0.1020304050607081	0.2518883283956549
CASK	1	0	1	0.10208248264597795	0.2518883283956549
NBR1	3	0	1	0.10232272587741738	0.2518883283956549
LIFR	1	0	1	0.1025010250102501	0.2518883283956549
CYYR1	1	0	1	0.10335917312661498	0.2518883283956549
NLRP13	2	0	1	0.10344470880314471	0.2518883283956549
PDE6A	1	0	1	0.1037344398340249	0.2518883283956549
PTPN1	1	0	1	0.10436234606553955	0.2518883283956549
AOX1	1	0	1	0.10456969570218551	0.2518883283956549
CATSPER2	1	0	1	0.10456969570218551	0.2518883283956549
CHD3	3	0	1	0.10465724751439037	0.2518883283956549
CD34	1	0	1	0.10467915837956662	0.2518883283956549
SAMSN1	1	0	1	0.10474494605635278	0.2518883283956549
SPG21	2	0	1	0.10484378276368211	0.2518883283956549
JAK1	1	0	1	0.1063264221158958	0.2518883283956549
MTFR1L	2	0	1	0.10640561821664184	0.2518883283956549
CNTNAP5	1	0	1	0.10706638115631692	0.2518883283956549
MYH2	5	1	2	0.10719262514738986	0.2518883283956549
IQCE	1	0	1	0.10737678513905294	0.2518883283956549
LRRD1	1	0	1	0.10759629868732516	0.2518883283956549
ETNPPL	2	0	1	0.10777023386140748	0.2518883283956549
AFG3L2	1	0	1	0.1079913606911447	0.2518883283956549
LSS	1	0	1	0.10816657652785289	0.2518883283956549
ZAN	4	0	1	0.10829542993285683	0.2518883283956549
RIPK1	2	0	1	0.10837758751490192	0.2518883283956549
AARS2	2	0	1	0.10900370612600828	0.2518883283956549
NAT9	2	0	1	0.10934937124111536	0.2518883283956549
DNER	1	0	1	0.10937329104232746	0.2518883283956549
RUVBL2	2	0	1	0.10946907498631636	0.2518883283956549
F2R	2	0	1	0.11026574043444702	0.2518883283956549
DTNB	1	0	1	0.11031439602868175	0.2518883283956549
NCOA3	3	0	1	0.11035091591260207	0.2518883283956549
CD300LF	1	0	1	0.11036309458117205	0.2518883283956549
BMP1	1	0	1	0.11041183614883515	0.2518883283956549
PPP2CB	1	0	1	0.1108278842956888	0.2518883283956549
FAM118A	2	0	1	0.11090163025396474	0.2518883283956549
PPAP2A	1	0	1	0.11128421989761851	0.2518883283956549
TRIM36	1	0	1	0.11190689346463742	0.2518883283956549
PICALM	1	0	1	0.11203226529240422	0.2518883283956549
CPEB1	2	0	1	0.11215791834903545	0.2518883283956549
CPSF2	1	0	1	0.11222085063404781	0.2518883283956549
NEO1	1	0	1	0.11227124733355788	0.2518883283956549
CELSR1	3	0	1	0.11246063877642826	0.2518883283956549
VWF	5	0	1	0.11293054771315642	0.2518883283956549
A1CF	1	0	1	0.11301989150090416	0.2518883283956549
PRPF8	2	0	1	0.11335298118340513	0.2518883283956549
DEPDC5	2	0	1	0.11340440009072351	0.2518883283956549
OR56A4	2	0	1	0.11343012704174228	0.2518883283956549
ANKAR	1	0	1	0.11354604292040422	0.2518883283956549
PPWD1	1	0	1	0.11358473421172194	0.2518883283956549
