,gene,score
863,TBCK,25.18286622
864,ZNF235,25.16099806
865,LRRC7,25.12858227
866,HNRNPH2,25.10333052
867,BAX,25.01328585
868,ZNF91,25.00303889
869,OR5AS1,24.93137771
870,SPAG16,24.89801561
871,ASPA,24.88137136
872,SPTBN4,24.87787837
873,EBF1,24.82103273
874,ZNF680,24.75962448
875,EPHA4,24.74079731
876,GLI3,24.7284043
877,NRAS,24.71476454
878,HEATR1,24.63928181
879,MYO3B,24.61481616
880,EGFL6,24.59928154
881,SRFBP1,24.56188415
882,NETO1,24.55022778
883,SORBS2,24.52627768
884,TSC22D1,24.43443082
885,FAR2,24.36721533
886,SSH3,24.35901883
887,CPN2,24.34420851
888,NELFA,24.31726653
889,BRPF1,24.30296471
890,TOB1,24.2700896
891,EIF3I,24.24412974
892,DOCK2,24.15802139
893,RRAS2,24.13727547
894,OR10K1,24.13643444
895,SNX18,24.11657159
896,KRT13,24.09512553
897,SLITRK1,24.04104783
898,OR5M9,24.00342338
899,SLC5A1,23.95690599
900,HACE1,23.94662965
901,PRDM9,23.86274558
902,DOCK10,23.83805147
903,ZNF561,23.82991897
904,GPR22,23.8090537
905,SALL1,23.76392618
906,VPS72,23.74591056
907,KRT10,23.73273809
908,OR4C12,23.72650032
909,NSRP1,23.72492974
910,UTRN,23.71630641
911,ZBTB18,23.71593568
912,MEPCE,23.66126317
913,PHF23,23.65906946
914,OR6T1,23.65809167
915,SEC31B,23.62887025
916,CDH12,23.61830235
917,SYN1,23.56873883
918,WNK3,23.5559884
919,TSHZ3,23.43242382
920,PON3,23.42256611
921,NCAM2,23.40625782
922,SLC30A9,23.36372342
923,RPLP0,23.35167905
924,CBL,23.33750632
925,ZMAT3,23.33718759
926,CACNA2D3,23.29950953
927,CASP5,23.29915855
928,TTC7A,23.28748445
929,ARL5A,23.28043505
930,SLC30A4,23.23802366
931,LRRC8D,23.19531399
932,PTBP3,23.13320683
933,KCNF1,23.1128932
934,HIST2H2AC,23.10086091
935,COLGALT2,23.01437432
936,ZNF594,22.92389531
937,SLC35B2,22.89315011
938,EIF3E,22.8854566
939,LBP,22.79171289
940,NEXN,22.76063272
941,FSHR,22.71131308
942,XKR3,22.70662952
943,DCUN1D4,22.69707538
944,CYP7B1,22.68355025
945,SPAG17,22.66217632
946,PCDHB11,22.65200231
947,TRAF4,22.63622256
948,DNAJC3,22.61935581
949,OR5H6,22.58870379
950,FAM120C,22.58457343
951,TAOK1,22.57941494
952,CLUL1,22.55373381
953,FAM50B,22.53717333
954,SLC35A1,22.5270536
955,HUS1B,22.50790173
956,AGRN,22.50754341
957,PCMTD1,22.4937073
958,KLHL42,22.48458747
959,LMBRD1,22.44059898
960,MGAM,22.37936131
961,ZIC3,22.36692841
962,TRIT1,22.36264575
963,ZNF638,22.33390838
964,OR5AC2,22.32661959
965,CD1D,22.32651017
966,ZNF704,22.29650771
967,MKRN3,22.2806065
968,COL24A1,22.27060359
969,SRSF7,22.25319071
970,MGAT2,22.24550894
971,ZNF180,22.21868452
972,NCOA6,22.21592806
973,H3F3B,22.20304048
974,HEXIM1,22.19952058
975,GADL1,22.15253355
976,ZNF326,22.13807376
977,CSDE1,22.12828468
978,GABRA5,22.07538558
979,ZFAT,22.04080739
980,MME,22.01898478
981,CACNG3,21.9944349
982,TCF3,21.92885959
983,CACNA2D4,21.91668247
984,POU4F1,21.90560907
985,ZNF675,21.87469569
986,SKIDA1,21.83916769
987,UBE2E1,21.83034123
988,TMEM56,21.78647358
989,TSPAN2,21.73783713
990,UBE2H,21.73682852
991,COL19A1,21.73532723
992,FNDC1,21.72239335
993,ITGB6,21.71666571
994,ATP8B4,21.69475336
995,NEMF,21.66984103
996,CDKN1C,21.66683014
997,UVRAG,21.65671342
998,CUL4A,21.58038672
999,HCN3,21.57476703
1000,DDX42,21.53803871
1001,PRODH2,21.48230582
1002,FOXP1,21.43881731
1003,ZFPM2,21.43047575
1004,LRRC47,21.40505583
1005,CCR3,21.39878101
1006,SLCO1A2,21.36843017
1007,PCDHA3,21.3471344
