,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TBCCD1,-0.005384009,-0.004023013,-0.002873859,0,-0.001273433,0.006048926,-0.003308701,-0.003480543,-0.000657923,-0.000522706,-0.00060072,-0.00046877,-0.017716587,-0.0282484,-0.005031967,-0.003646236,-0.003501497,-0.006260603,-0.002600201,-0.00157959,0,-0.000909537,-0.010458379,-0.012053945,-0.009109072
TBCD,0.016091899,-0.008664411,-0.010281148,-0.002606497,-0.007710178,0.013668751,-0.005636315,-0.008350322,-0.001464877,-0.001020367,-0.001548584,-0.007059431,-0.001339063,0.023418931,-0.008950139,-0.014042439,0,-0.004018585,-0.005937007,-0.003495727,0,-0.000151035,-0.007287587,-0.011257257,-0.01001938
TBCE,-0.004192162,-0.003676745,-0.002516948,-0.000582377,-0.004148717,-0.016107479,-0.002378353,0.004301137,-0.000478129,-0.001378081,0,-0.003477317,-0.012608294,-0.0185892,-0.005559289,-0.004591686,-0.000561686,0.000870645,-0.000425239,-0.001322644,-0.000389863,-0.000588657,-0.016526053,-0.011136866,-0.009811047
TBCEL,-0.005458837,-0.001539291,0,-0.000175843,-0.002689979,-0.006072247,-0.00350433,-0.003135494,-0.000499887,-0.0006151,-0.000551487,-0.002875923,-0.017657368,-0.026599373,-0.004351259,-0.002685405,-0.002445297,-0.005726758,-0.002140389,-0.00231482,-0.002209833,-0.000880484,-0.008411387,-0.010699961,-0.011562871
TBK1,-0.007008496,0,-0.009974112,0.006242218,-0.00521784,-0.035212063,-0.0064231,0.017137509,-0.002060785,0.000707591,-0.003064305,-0.002216801,0.072651546,0.062496653,-0.006277425,-0.012702197,0.007556137,-0.0115452,-0.008056326,-0.005526862,-0.006527624,-0.003475821,-0.020330719,-0.010829726,-0.011931591
TBP,-0.022963261,-0.002026554,-0.004665843,-0.011101501,0.020349802,0.029485818,-0.003905657,0.038159707,0.021388247,0.004826719,0.002565252,0.005637085,0.110561038,0.133468482,-0.008255762,-0.016790225,0.010337631,-0.011199398,0.018758732,-0.010012091,-0.001293248,-0.007233609,-0.035605645,-0.004492306,-0.020082752
TBPL2,-0.008079724,-0.005213436,-0.002668344,-0.003492476,-0.003116857,0.030635403,-0.000674823,-0.00448167,-0.000931403,-0.001166066,0.000619885,0,-0.021024188,-0.040716835,0.008529774,-0.004605673,0.005685713,-0.00177,-0.001705052,-0.001187133,-0.003034904,-0.000385522,-0.014401099,-0.011585938,-0.007890398
TBRG1,-0.006677754,0.003387434,-0.000435669,-0.001359996,-0.00291595,-0.01073287,0.001186169,-0.003292368,-0.000595864,-0.001726713,-0.000869745,-0.005353011,-0.016539977,-0.024162806,-0.00267005,-0.004493131,-0.001009437,-0.001526406,0.002851272,-0.001702514,-0.001197945,-0.001151716,-0.017289968,-0.012597885,-0.010355293
TBX15,-0.004169851,-0.004863771,-0.005406864,-0.003467308,-0.004390781,-0.003586086,-0.003449675,-0.003762226,-0.00073745,-0.001871957,-0.001768869,-0.007087656,-0.021141352,-0.0322207,-0.004689223,0.003317917,-0.003567217,-0.005654069,-0.004814161,-0.002131864,0.001220734,-0.001354518,0.005801925,-0.009007794,-0.004215092
TBX20,-0.006883775,-0.005928655,-0.005980896,-0.003290846,-0.004100556,0.003021087,-0.004753081,-0.003910355,-0.000603658,-0.001609854,-0.001672221,-0.008709291,-0.01423536,-0.032036829,0.005376935,0.000909441,-0.008487982,0.00395301,-0.001680734,0.001160648,0.000989276,-0.000819932,-0.003229186,-0.009622375,-0.011944152
TBX21,-0.003467483,-0.004443538,-0.007221025,-0.003208788,-0.00328872,-0.006082009,-0.002774123,-0.003933618,-0.000787363,0.001493215,-0.000253334,-0.002171633,-0.010803564,-0.023922195,0.002115853,0.001884792,-0.004112776,0.002669766,-0.001556863,-0.002209256,-0.00266156,-0.00087999,-0.008145257,-0.011272715,-0.011914297
